id csize PC1 PC2 PC3 PC4 PC5 PC6
BR18 6.48409334715032 -0.0514908552841559 -0.00869990901849267 -0.00948612009309308 -0.00326317641631509 -0.000428947717071402 -0.000984825383091089
BR19 7.47269913329099 0.0011923196425129 0.0154632419497933 -0.00595298314388379 0.00101044314237942 -0.00463240169370002 0.000909953135145749
BR20 6.9261465476584 -0.0220127130162447 -7.74260877814575e-05 -0.0075019681401763 -0.00810259511102142 0.00791244850451169 0.00554254354051813
BR21 6.20799376640874 -0.00714353073016525 0.0241961159508846 -0.0037676646097704 0.00876428357105554 0.0103750619817177 0.00841924988091262
BR23 7.06544083250817 -0.0546969205268463 -0.00465798492040414 -0.00464016348489879 0.00602953894926619 -0.000843968896362034 -0.00271259229221039
BR24 6.93915065101779 -0.00679716839295216 0.0164098287121355 0.019916683651047 -0.00594000780678043 -0.00672532662127749 -0.00361335123769004
BR25 7.08152659909348 -0.00639516067221111 -0.00689876332732537 0.00368923551397436 0.00609398394121845 0.00156237657442535 0.0104750637182655
BR26 7.08105293199063 0.0047311028050432 -0.00794557291466483 -0.00253487863518316 -0.0126293493016414 0.00854499568799852 0.00648952506362231
BR28 6.25453884629419 -0.00484448506470687 -0.0284986720286337 -0.00298584290272123 0.00367711182264105 -0.00583697258108888 0.0158001795018846
BR29 6.25975151577051 0.0124833643179001 0.0191067986340346 0.0161489915183854 0.00791043187120434 0.00968350073650187 0.00989222911094426
BR31 6.26585811714695 -0.00171200237747099 0.016494537860841 0.00408188751682794 0.0081707929180301 -0.00874144424981927 0.0111947856128854
BR32 6.2005275711539 0.0237580618516589 0.000625143066600378 0.00966845743606326 -0.00154694296748409 -0.0014404782007684 0.000755215589917897
BR33 7.1400274082712 -0.0356244125570475 -0.000435969855756088 0.00623400514512456 0.00482804634070264 -0.0153799838842921 0.00856852128691687
BR36 6.35339189534958 0.0150236951637075 0.0257264112216597 0.00268288655653181 -0.00395379775832509 0.0095539390633464 0.0036393765877356
BR37 7.12839249394118 -0.0329022425741369 -0.0119411183876935 -0.00521659460638979 0.0115475727369781 0.0174486271684645 -0.0121173732728844
CL11 7.15223259354975 0.0141827188001323 -0.00503977284095155 0.026986134839907 0.0034091792797318 0.00363958530725154 0.000144734339066287
CL12 6.70966439169771 -0.0237234448669369 -0.0103510632277273 0.0072424675137176 -0.00525583431295898 -0.00347188441280214 0.00713537163266782
CL17 6.09165717715115 -0.00471300071599744 -0.0175148017467468 -0.0202343845100696 0.00334522954966713 -0.0035621360771154 0.0192542417295723
CL19 4.83413757234958 0.021073284910759 0.0182066770044503 -0.0163367022698519 0.00135869472999491 0.00221401926958326 -0.0114479183386175
CL21 4.71459011294619 0.0600469869998719 -0.00349784715285691 -0.0186634017350791 0.0129270119977946 -0.0119561559835061 0.0051473363455087
CL23 5.7555743204664 0.0514755273430169 -0.00490488479432776 0.00344862374460172 -0.0040619104911811 -0.0091303450712981 0.00642704142638984
CL24 6.77356525904816 0.0270117805823457 -0.0430936208026705 0.0043784898180587 -0.00150333467757046 -0.00809099922041948 0.0140542308317576
CL25 4.25382528438179 0.00445217929876309 0.021383411855371 -0.0137307108274636 -0.000505004287518784 -0.00815365560798826 0.000465721108726661
CL27 6.62127267349492 -0.0345906733872344 -0.0220060829099207 -0.017383954881957 0.000194842334887583 -0.00784287380978512 -0.00745420745845681
CL28 5.66790629083679 0.0110512335543086 0.0199803394686195 0.00891546334506327 0.00849161617996844 -0.00294405143663001 0.00580367705745762
CL29 4.69968461387469 0.0296010080781051 0.0191022567385161 -0.0164884836102627 0.00557140422164698 -0.0100864259864464 -0.00128022399564624
