id isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio
SF4 -19.79 13.3 -0.991999999999999 -0.383999999999999 3.31287308590709
SF5 -18.88 13.17 -0.081999999999999 -0.514 3.34146866700165
SF58 -19.92 13.75 -1.257 0.157 3.40915942861245
SF7 -18.66 12.81 0.00299999999999973 -0.782999999999999 3.27214835549335
SF83 -18.9 13.96 -0.101999999999999 0.276000000000001 3.413322331408
SR1 -18.69 13.25 -0.348000000000002 -0.3045 3.27044368600683
SR105 -18 14.16 0.342 0.6055 3.27614391566725
SR107 -18.62 13.94 -0.278000000000001 0.3855 3.33941707147814
SR113 -18.9 13.11 -0.557999999999999 -0.4445 3.28303018189087
SR114 -18.04 14.39 0.126250000000001 0.31625 3.42510229496531
SR120 -18.17 14.84 -0.00375000000000149 0.766249999999999 3.40697074644462
SR125 -19.25 15.24 -0.908 1.6855 3.69716757815688
SR128 -18.11 12.5 0.232 -1.0545 3.28126301179736
SR130 -18.8 13.25 -0.458000000000001 -0.3045 3.29985885673959
SR131 -17.56 12.4 0.782000000000001 -1.1545 3.2535231316726
SR133 -18.29 13.67 0.0520000000000007 0.1155 3.28854961832061
SR137 -18.18 12.96 -0.0137499999999995 -1.11375 3.33551601423488
SR141 -17.44 13.09 0.901999999999999 -0.4645 3.3144204553828
SR144 -18.44 13.19 -0.0980000000000014 -0.3645 3.22310895211659
SR148 -17.36 13.34 0.982000000000001 -0.2145 3.2333803810868
SR149 -17.88 14.7 0.462000000000001 1.1455 3.28131505276003
SR15 -18.4 13.59 NA NA 3.24112199347058
SR18 -18.14 14.13 0.0262499999999997 0.0562500000000006 3.32491325468425
SR20 -18.63 13.51 NA NA 3.31590095683296
SR25 -17.61 14.06 0.556250000000001 -0.0137499999999997 3.37154547412246
SR34 -17.34 13.97 1.002 0.415500000000001 3.2341261909521
SR37 -19.52 14.16 -1.178 0.6055 3.24608771576332
SR45 -18.59 13.6 -0.248 0.0454999999999999 3.24282715185444
SR51 -18.07 13.64 0.0962499999999999 -0.43375 3.27395732659282
SR58 -18.24 13.54 0.102000000000001 -0.0145000000000006 3.31906400550585
SR80 -18.23 14.79 -0.0637500000000002 0.716249999999999 3.31654241386258
SR88 -18.87 13.16 -0.528000000000001 -0.3945 3.462911126662
SR89 -18.22 13.58 0.122000000000001 0.0255000000000003 3.25802301963439
SR92 -18.89 13.78 -0.72375 -0.293750000000001 3.49964412811388
SR96 -18.72 13.24 -0.377999999999999 -0.3145 3.37154547412246
