id pop year region species cluster geno_sex sequenced rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio csize PC1 PC2 PC3 PC4 PC5 PC6 egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic joint_sex raker_long_count raker_short_count plate_count
BR18 BR 2014 CB cmn cbr F 1 176.271631545338 132 163.308695189442 129 151.368374840358 133 490.948701575138 490.948701575138 NA NA NA NA NA 6.48409334715032 -0.0514908552841559 -0.00869990901849267 -0.00948612009309308 -0.00326317641631509 -0.000428947717071402 -0.000984825383091089 NA NA NA NA NA NA NA NA 5.17 1.25 1.37 0.546080055 0.667 0.176421881 0.905225055 F NA NA NA
BR19 BR 2014 CB cmn cbr M 1 187.932505388046 223 164.77120542859 164 138.214796321192 136 490.918507137827 490.918507137827 NA NA NA NA NA 7.47269913329099 0.0011923196425129 0.0154632419497933 -0.00595298314388379 0.00101044314237942 -0.00463240169370002 0.000909953135145749 NA NA NA NA NA NA NA NA 6.03 1.46 1.43 0.586650462 0.593 0.220203528 0.946266996 M NA NA NA
BR20 BR 2014 CB cmn cbr F 1 172.662912912913 131 157.374865937366 134 145.117814242814 146 475.155593093093 475.155593093093 NA NA NA NA NA 6.9261465476584 -0.0220127130162447 -7.74260877814575e-05 -0.0075019681401763 -0.00810259511102142 0.00791244850451169 0.00554254354051813 NA NA NA NA NA NA NA NA 5.5 1.31 1.3 0.651770653 0.633 0.215582877 0.852090073 F NA NA NA
BR21 BR 2014 CB cmn cbr M 1 198.176454370003 136 169.848201977234 181 134.884910788137 131 502.909567135374 502.909567135374 NA NA NA NA NA 6.20799376640874 -0.00714353073016525 0.0241961159508846 -0.0037676646097704 0.00876428357105554 0.0103750619817177 0.00841924988091262 NA NA NA NA NA NA NA NA 5.17 1.17 1.15 0.612095246 0.704 0.182600424 0.851482356 M NA NA NA
BR23 BR 2014 CB cmn cbr F 1 195.443256689525 165 183.456680561158 181 169.32376406257 163 548.223701313254 548.223701313254 NA NA NA NA NA 7.06544083250817 -0.0546969205268463 -0.00465798492040414 -0.00464016348489879 0.00602953894926619 -0.000843968896362034 -0.00271259229221039 NA NA NA NA NA NA NA NA 5.63 1.34 1.4 0.588653206 0.593 0.213063609 0.633961302 F NA NA NA
BR24 BR 2014 CB cmn cbr M 1 201.20326040326 NA 186.383812383812 195 163.683083083083 162 551.270155870156 551.270155870156 NA NA NA NA NA 6.93915065101779 -0.00679716839295216 0.0164098287121355 0.019916683651047 -0.00594000780678043 -0.00672532662127749 -0.00361335123769004 NA NA NA NA NA NA NA NA 5.66 1.26 1.27 0.67579465 0.74 0.206380786 0.887682479 M NA NA NA
BR25 BR 2014 CB cmn cbr F 1 187.186522633745 160 168.365288065844 178 150.661872427984 155 506.213683127572 506.213683127572 NA NA NA NA NA 7.08152659909348 -0.00639516067221111 -0.00689876332732537 0.00368923551397436 0.00609398394121845 0.00156237657442535 0.0104750637182655 NA NA NA NA NA NA NA NA 5.72 1.31 1.41 0.524010069 0.651 0.149286901 0.820884428 F NA NA NA
BR26 BR 2014 CB cmn cbr F 1 187.463597624552 161 176.539281019085 169 162.051180923886 160 526.054059567523 526.054059567523 NA NA NA NA NA 7.08105293199063 0.0047311028050432 -0.00794557291466483 -0.00253487863518316 -0.0126293493016414 0.00854499568799852 0.00648952506362231 NA NA NA NA NA NA NA NA 5.7 1.39 1.4 0.520308674 0.604 0.175558674 0.785117347 F NA NA NA
BR28 BR 2014 CB cmn cbr F 1 176.871946189479 128 167.901611777397 127 158.480709435878 128 503.254267402754 503.254267402754 NA NA NA NA NA 6.25453884629419 -0.00484448506470687 -0.0284986720286337 -0.00298584290272123 0.00367711182264105 -0.00583697258108888 0.0158001795018846 NA NA NA NA NA NA NA NA 5 1.21 1.23 0.641423955 0.674 0.194492406 0.981919669 F NA NA NA
BR29 BR 2014 CB cmn cbr M 1 193.635532407407 129 168.527932098765 186 135.024537037037 133 497.18800154321 497.18800154321 NA NA NA NA NA 6.25975151577051 0.0124833643179001 0.0191067986340346 0.0161489915183854 0.00791043187120434 0.00968350073650187 0.00989222911094426 NA NA NA NA NA NA NA NA 5.13 1.19 1.14 0.663047769 0.672 0.159517742 0.919573321 M NA NA NA
BR31 BR 2014 CB cmn cbr M 1 172.765116097865 193 161.184393018544 177 145.406615240767 146 479.356124357176 479.356124357176 NA NA NA NA NA 6.26585811714695 -0.00171200237747099 0.016494537860841 0.00408188751682794 0.0081707929180301 -0.00874144424981927 0.0111947856128854 NA NA NA NA NA NA NA NA 5.18 1.14 1.14 0.545009115 0.597 0.162160499 0.967535081 M NA NA NA
BR32 BR 2014 CB cmn cbr M 1 179.986407520325 191 164.606241531165 178 147.071519308943 153 491.664168360434 491.664168360434 NA NA NA NA NA 6.2005275711539 0.0237580618516589 0.000625143066600378 0.00966845743606326 -0.00154694296748409 -0.0014404782007684 0.000755215589917897 NA NA NA NA NA NA NA NA 5.04 1.13 1.12 0.555939864 0.553 0.191694342 1.020747565 M NA NA NA
BR33 BR 2014 CB cmn cbr F 1 185.111152803836 139 165.932791327913 131 139.499520533667 129 490.543464665416 490.543464665416 NA NA NA NA NA 7.1400274082712 -0.0356244125570475 -0.000435969855756088 0.00623400514512456 0.00482804634070264 -0.0153799838842921 0.00856852128691687 NA NA NA NA NA NA NA NA 5.72 1.36 1.42 0.686264608 0.713 0.191676741 1.031205207 F NA NA NA
BR36 BR 2014 CB cmn cbr M 1 183.574252136752 217 166.95177045177 180 143.386561355311 150 493.912583943834 493.912583943834 NA NA NA NA NA 6.35339189534958 0.0150236951637075 0.0257264112216597 0.00268288655653181 -0.00395379775832509 0.0095539390633464 0.0036393765877356 NA NA NA NA NA NA NA NA 5.17 1.19 1.14 0.689094213 0.78 0.241551011 1.032203193 M NA NA NA
BR37 BR 2014 CB cmn cbr F 1 170.97434129902 133 159.68972120098 181 147.189670138889 154 477.853732638889 477.853732638889 NA NA NA NA NA 7.12839249394118 -0.0329022425741369 -0.0119411183876935 -0.00521659460638979 0.0115475727369781 0.0174486271684645 -0.0121173732728844 NA NA NA NA NA NA NA NA 5.7 1.4 1.36 0.483360311 0.552 0.164427251 0.901005275 F NA NA NA
CB1 CB 2014 CB cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CB2 CB 2014 CB wht cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CL11 CL 2014 HA cmn cmn F 1 143.601859360519 158 146.612778035218 158 149.898922613531 158 440.113560009268 440.113560009268 -17.13 12.68 1.19333333333333 0.774666666666667 3.24079040225829 7.15223259354975 0.0141827188001323 -0.00503977284095155 0.026986134839907 0.0034091792797318 0.00363958530725154 0.000144734339066287 0.95 0.0707106781186547 91 1.25 F NA NA NA 5.89 1.26 1.21 0.554941177 0.605 0.212090686 1.029517157 F NA NA NA
CL12 CL 2014 HA wht cmn F 1 155.782510553471 128 151.519670497186 134 148.146400093809 157 455.448581144465 455.448581144465 -17.48 12.4 0.843333333333333 0.494666666666667 3.25752274317705 6.70966439169771 -0.0237234448669369 -0.0103510632277273 0.0072424675137176 -0.00525583431295898 -0.00347188441280214 0.00713537163266782 NA NA NA NA NA NA NA NA 5.39 1.24 1.25 0.55621769 0.567 0.120347104 0.922329409 F NA NA NA
CL17 CL 2014 HA cmn cmn F 1 154.434314903846 156 148.036207932692 150 144.538611778846 145 447.009134615385 447.009134615385 -18.58 12.35 -0.256666666666665 0.444666666666666 3.25017494751574 6.09165717715115 -0.00471300071599744 -0.0175148017467468 -0.0202343845100696 0.00334522954966713 -0.0035621360771154 0.0192542417295723 1.485 0.066874675492463 87 3.73 F NA NA NA 4.89 1.18 1.3 0.475758865 0.477 0.161728132 0.74248227 F NA NA NA
CL19 CL 2014 HA wht wht M 1 145.476666666667 161 142.643037037037 159 137.603555555556 156 425.723259259259 425.723259259259 -19.05 13.24 -0.577777777777779 1.38 3.22377224199288 4.83413757234958 0.021073284910759 0.0182066770044503 -0.0163367022698519 0.00135869472999491 0.00221401926958326 -0.0114479183386175 NA NA NA NA M 3.65 0.95 0.384 3.99 0.87 0.85 0.36875684 0.426 0.102275655 0.640750467 M NA NA NA
CL21 CL 2014 HA wht wht M 1 153.42615945075 163 153.242048479753 160 154.148311615525 159 460.816519546028 460.816519546028 -18.22 12.37 0.252222222222223 0.509999999999999 3.24922163492868 4.71459011294619 0.0600469869998719 -0.00349784715285691 -0.0186634017350791 0.0129270119977946 -0.0119561559835061 0.0051473363455087 NA NA NA NA NA NA NA NA 3.84 0.89 0.89 0.332047281 0.451 0.070921986 0.614037825 M NA NA NA
CL23 CL 2014 HA cmn cmn M 1 139.085180700447 158 142.495529061103 158 147.271376676602 157 428.852086438152 428.852086438152 -18.65 13.42 -0.177777777777777 1.56 3.26099644128114 5.7555743204664 0.0514755273430169 -0.00490488479432776 0.00344862374460172 -0.0040619104911811 -0.0091303450712981 0.00642704142638984 NA NA NA NA M 3.8 0.9 0.484 4.73 1.03 1.02 0.486542019 0.507 0.142853402 0.761958615 M NA NA NA
CL24 CL 2014 HA cmn cmn F 1 155.33351426799 185 155.929254549214 183 158.652993176179 177 469.915761993383 469.915761993383 -16.98 12.35 1.34333333333333 0.444666666666666 3.21856033874383 6.77356525904816 0.0270117805823457 -0.0430936208026705 0.0043784898180587 -0.00150333467757046 -0.00809099922041948 0.0140542308317576 1.065 0.0818195847242238 134 1.865 F NA NA NA 5.4 1.27 1.32 0.578865792 0.687 0.182940447 0.933916017 F NA NA NA
CL25 CL 2014 HA wht wht M 1 142.320216049383 150 139.391865079365 141 133.348985890653 130 415.0610670194 415.0610670194 -18.08 10.49 0.392222222222224 -1.37 3.26099644128114 4.25382528438179 0.00445217929876309 0.021383411855371 -0.0137307108274636 -0.000505004287518784 -0.00815365560798826 0.000465721108726661 NA NA NA NA M 3.3 0.625 0.255 3.49 0.83 0.78 0.321104449 0.285 0.149687276 0.524047454 M NA NA NA
CL27 CL 2014 HA cmn cmn F 1 144.542443820225 104 140.144157303371 157 139.290758426966 154 423.977359550562 423.977359550562 -18.24 12.47 0.0833333333333346 0.564666666666667 3.33256100209978 6.62127267349492 -0.0345906733872344 -0.0220060829099207 -0.017383954881957 0.000194842334887583 -0.00784287380978512 -0.00745420745845681 1.555 0.0685160159703149 104 3.96 F NA NA NA 5.19 1.23 1.35 0.553135261 0.545 0.158570169 0.810416435 F NA NA NA
