id pop year region species cluster geno_sex sequenced rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio csize PC1 PC2 PC3 PC4 PC5 PC6 egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic joint_sex raker_long_count raker_short_count plate_count
RT54 RT 2014 GY wht wht F 1 176.700527822508 100 172.060118089104 191 167.977903023797 188 516.738548935409 516.738548935409 NA NA NA NA NA 5.69859386853287 -0.0291029583496471 -0.0327389820838865 0.0118096259156082 0.0170049878068403 0.011172340018415 0.00818031262792073 NA NA NA NA NA NA NA NA 4.55 1.06 1.1 0.494557996 0.609 0.232814055 0.664623504 F NA NA NA
RT55 RT 2014 GY wht wht F 1 171.033238366572 187 166.57423235201 182 161.990556083149 174 499.59802680173 499.59802680173 NA NA NA NA NA 5.16925951325027 0.00632733899325483 -0.019913426360411 -0.00643716711389868 0.00246125630861604 0.000432596631947619 -0.00421303980929363 NA NA NA NA NA NA NA NA 4.14 0.94 1.04 0.441553785 0.475 0.161428463 0.679308387 F NA NA NA
RT60 RT 2014 GY wht wht M 1 163.051961591221 172 161.344910836763 165 158.303978052126 160 482.70085048011 482.70085048011 NA NA NA NA NA 5.39249043678999 -0.0234669983216918 -0.0085963317216184 0.0171167923110244 0.025492272641061 -0.00618885253512122 -0.00201298553208862 NA NA NA NA M 5.05 1 0.664 4.33 0.97 0.99 0.500270337 0.551 0.190189096 0.652271996 M NA NA NA
RT62 RT 2014 GY cmn cmn F 1 151.152644230769 98 150.137770432692 103 150.804787660256 164 452.095202323718 452.095202323718 NA NA NA NA NA 6.71361736604495 -0.0418783654775569 -0.0190985243416295 0.00363500128946953 -0.0137528381728077 -0.000282878809265602 -0.00145945441200182 NA NA NA NA NA NA NA NA 5.3 1.24 1.34 0.554980766 0.493 0.206452151 0.797899278 F NA NA NA
SF1 SF 2014 GY cmn cmn F 1 186.327222644377 191 177.316318389058 181 170.440444528875 168 534.08398556231 534.08398556231 -18.42 14.25 0.377999999999998 0.566 3.43245551601423 6.8082770774992 -0.0288215899108977 -0.0268092099866606 -0.0145317679923157 -0.00803212619606599 0.0023236898704994 -0.004706920560081 1.585 0.0579750904364203 107 4.101 F NA NA NA 5.42 1.27 1.33 0.583603763 0.741 0.198459088 0.926897153 F NA NA NA
SF10 SF 2014 GY wht wht F 1 198.109285509737 224 180.146048109966 182 158.851338774341 159 537.106672394043 537.106672394043 -18.35 14.34 0.447999999999998 0.656 3.35283414975507 6.03162412238593 -0.0651078734097956 -0.00723311432275485 0.00678411868723353 0.0135265499921077 -0.0115205632072785 -0.00802182150207767 1.425 0.058925565098879 72 2.799 F NA NA NA 4.79 1.15 1.21 0.512917097 0.499 0.183490541 0.546308057 F NA NA NA
SF12 SF 2014 GY cmn cmn M 1 NA NA NA NA NA NA NA NA -19.53 12.76 -0.867000000000001 -0.833 3.4182074805928 5.81813379298984 0.060798837174688 -0.0137315449067469 -0.0164673408060656 0.00227818243466312 -0.0152662923603469 0.0124333402628439 NA NA NA NA M 6.2 1.25 1.217 4.79 1.13 1.15 0.470820525 0.515 0.086583079 0.685565235 M NA NA NA
SF2 SF 2014 GY wht wht M 1 177.109098228663 186 175.847423510467 183 170.640821256039 170 523.597342995169 523.597342995169 -18.48 14.13 0.182999999999999 0.537000000000001 3.27397640527411 4.86004550466524 0.0432888561985767 -0.0031178079769452 0.0066299818676655 -4.12058761553795e-05 -0.00639170001046583 0.00445556787490601 NA NA NA NA M 5.25 1.3 0.578 3.91 0.94 0.96 0.392261155 0.475 0.131703694 0.614269626 M NA NA NA
SF22 SF 2014 GY wht wht F 1 204.767855509831 NA 189.82491998171 199 174.649977137631 183 569.242752629172 569.242752629172 -18.56 14 0.238000000000001 0.316 3.35529650278763 5.71146660815488 -0.00877635207483227 -0.0262234959274862 0.00584827876385839 0.00241408477291362 -0.00466239941540386 0.0258232306911734 1.46 0.0516397779494323 62 2.863 F NA NA NA 4.66 0.98 1.09 0.474956751 0.589 0.220169919 0.861129977 F NA NA NA
SF23 SF 2014 GY wht wht M 1 180.116495253165 208 166.496143196203 183 148.694323575949 155 495.306962025316 495.306962025316 -18.08 13.66 0.583000000000002 0.0670000000000003 3.26668979875087 4.6490500950441 0.0145623224412 0.0196476512238456 -0.0167352379281231 0.0164797222711168 -0.00446981399286769 0.0180109910859295 NA NA NA NA M 4.3 1.3 0.526 3.87 0.91 0.9 0.540124483 0.514 0.154637183 0.698612131 M NA NA NA
SF24 SF 2014 GY wht wht M 1 202.603021099744 67 189.249200767263 190 170.000479539642 168 561.85270140665 561.85270140665 -17.46 14.32 1.203 0.727 3.31183757742601 5.06372780038855 0.0527740847654397 0.00927355865722571 -0.00125247206297593 -0.00926813321097718 -0.000527773257511118 -0.00377130964375683 NA NA NA NA M 5.95 1.3 0.697 4.16 0.93 0.94 0.517133693 0.544 0.185882299 0.769804703 M NA NA NA
SF25 SF 2014 GY wht wht M 1 198.424429479985 199 183.06808829031 185 161.724747474747 160 543.217265245043 543.217265245043 -18.49 13.12 0.173000000000001 -0.473000000000001 3.35283414975507 NA NA NA NA NA NA NA NA NA NA NA M 4.6 1.3 0.616 4 0.9 0.92 0.462763366 0.423 0.152282039 0.731290668 M NA NA NA
SF27 SF 2014 GY wht wht F 1 194.570697577277 201 176.408155806182 176 157.914578111947 158 528.893431495405 528.893431495405 -18.98 12.76 -0.182000000000001 -0.924 3.33206019402643 5.235127996338 -0.00643973538783232 -0.0201068432105086 -0.014476699705399 -0.0122632058712087 -0.00597858787871048 0.00036540495572262 1.335 0.120300549550791 62 2.613 F NA NA NA 4.19 1.03 1.08 0.499148242 0.519 0.167258989 0.744799895 F NA NA NA
SF28 SF 2014 GY wht wht F 1 190.567208672087 NA 175.663233965673 170 160.007136404697 158 526.237579042457 526.237579042457 -19.01 13.59 -0.212000000000002 -0.094 3.35512732278045 5.73374077779177 -0.00803046772570264 -0.0172931488245717 -0.00522301610380234 0.00282902102766599 0.0207981341638661 -0.0233449318483089 1.405 0.083166499665831 58 2.886 F NA NA NA 4.59 1.1 1.11 0.371782413 0.544 0.12015487 0.802353816 F NA NA NA
SF29 SF 2014 GY wht wht M 1 195.539068100358 207 182.054050179211 187 162.228960573477 161 539.822078853047 539.822078853047 -18.88 13.86 -0.216999999999999 0.267 3.35165843330981 5.20004339009614 -0.00265148801005768 0.00895499814637719 -0.0116317375963471 0.0096141517906783 0.00498485394271483 -0.00665831208628835 NA NA NA NA M 5.65 1.25 0.622 4.22 1 1.02 0.470291556 0.548 0.17494414 0.715492203 M NA NA NA
SF3 SF 2014 GY wht wht M 1 187.763342830009 195 175.725482747705 182 161.756885090218 160 525.245710667933 525.245710667933 -18.4 13.91 0.263000000000001 0.317 3.3959972500191 5.08784160137139 0.0280959061345531 0.0120503220935468 0.00374464262800834 0.00358018921981623 0.000279364882617156 0.00389071189002101 NA NA NA NA M 5.9 1.125 0.667 4.21 0.91 0.91 0.491561905 0.452 0.108797619 0.691197619 M NA NA NA
SF30 SF 2014 GY wht wht F 1 179.842974649407 168 169.430690399137 163 157.107672599784 154 506.381337648328 506.381337648328 -19.51 13.29 -0.712000000000002 -0.394000000000001 3.36127689104788 5.1814394912691 -0.00788916140633172 -0.017058435001459 -0.0180291298470029 -0.00258964509270592 -0.00198303192174902 0.00313401548367108 1.36666666666667 0.0866025403784438 37 2.447 F NA NA NA 4.14 0.98 1.08 0.547830769 0.544 0.12015641 0.5711 F NA NA NA
SF32 SF 2014 GY wht wht F 1 183.81549044899 161 172.359375959708 173 155.346231803943 153 511.52109821264 511.52109821264 -17.58 14.18 1.218 0.496 3.26513202437373 5.40427891932684 -0.0124218968278018 -0.014356491610685 0.000641751267128046 -0.00178864119369929 0.00472636306571979 -0.0117140243815434 1.11 0.110050493461461 70 1.575 F NA NA NA 4.29 0.96 1.01 0.365102486 0.623 0.141112996 0.780602288 F NA NA NA
SF33 SF 2014 GY wht wht M 1 187.364108069422 66 179.515059342757 67 167.10854654977 163 533.987713961949 533.987713961949 -18.73 13.61 -0.0670000000000005 0.0169999999999996 3.39597741707833 5.05255360813381 0.0276075765966993 -0.0035548657153338 -0.0149064219534359 0.00172327405342703 -0.00857957561003411 0.0115137104433264 NA NA NA NA NA NA NA NA 4.2 0.96 0.99 0.481835594 0.459 0.158386343 0.615351481 M NA NA NA
SF4 SF 2014 GY wht wht F 1 197.948550724638 209 195.879388083736 201 191.157809983897 191 584.985748792271 584.985748792271 -19.79 13.3 -0.991999999999999 -0.383999999999999 3.31287308590709 4.88129307293968 -0.0217247031659736 -0.0128943542980394 0.0205728034517111 0.00451356178345854 -0.00146744550306917 0.000514460412949373 NA NA NA NA NA NA NA NA 3.93 0.86 0.89 0.457354688 0.524 0.142853402 0.538502563 F NA NA NA
SF5 SF 2014 GY wht wht F 1 178.57624443317 176 168.027566379165 162 156.510288065844 156 503.114098878178 503.114098878178 -18.88 13.17 -0.081999999999999 -0.514 3.34146866700165 5.18335467653497 -0.00700853234727122 -0.0206387866018693 -0.0162625154655072 0.00379028724522905 0.00386768902471828 -0.0105780578209114 1.475 0.0824957911384306 45 3.08 F NA NA NA 4.15 0.99 1.01 0.498965503 0.556 0.141417725 0.703617286 F NA NA NA
SF58 SF 2014 GY cmn cmn M 1 185.317440711462 190 170.604290184453 166 155.218338274045 157 511.14006916996 511.14006916996 -19.92 13.75 -1.257 0.157 3.40915942861245 6.14042131502904 -0.00292200171279407 0.0228439033622358 -0.00321186769868909 -0.00152077757392114 -0.000916499382937067 0.000241001730503077 NA NA NA NA M 5.35 1.5 0.849 4.99 1.19 1.18 0.355950904 0.344 0.117847545 0.73501292 M NA NA NA
SF7 SF 2014 GY wht wht M 1 171.764587700908 184 167.496942697414 176 158.012229210342 161 497.273759608665 497.273759608665 -18.66 12.81 0.00299999999999973 -0.782999999999999 3.27214835549335 NA NA NA NA NA NA NA NA NA NA NA M 3.6 1.3 0.47 3.79 0.84 0.84 0.27867124 0.331 0 0.42575725 M NA NA NA
SF83 SF 2014 GY wht wht F 1 183.418703007519 104 169.054981203008 134 153.875730994152 128 506.349415204678 506.349415204678 -18.9 13.96 -0.101999999999999 0.276000000000001 3.413322331408 5.40210584308748 -0.0173363461962058 -0.0119084915701207 -0.00839096295215912 0.0218161387703298 0.0027722631568606 -0.011025392045637 1.31 0.0774596669241483 65 2.422 F NA NA NA 4.39 1.02 1.08 0.441496904 0.435 0.128511173 0.710354995 F NA NA NA
SH1 SH 2014 GY cmn cmn F 1 139.470297619048 104 138.751091269841 104 137.185297619048 157 415.406686507937 415.406686507937 NA NA NA NA NA 7.01969391753128 0.0248345928702793 -0.0517565587120019 -0.000839905402506062 0.000330456823481833 -0.0133836162501021 0.0017350016401164 NA NA NA NA NA NA NA NA 5.5 1.33 1.41 0.639098249 0.662 0.160863862 0.906566014 F NA NA NA
SH10 SH 2014 GY wht cmn F 1 157.023022312373 169 155.994244421907 168 153.886713995943 163 466.903980730223 466.903980730223 NA NA NA NA NA 6.62624903058876 0.00998814839382888 -0.0265520338513073 0.00252469713383278 -0.00104698258419925 -0.00549676816577613 -0.00350904413349245 NA NA NA NA NA NA NA NA 5.31 1.23 1.23 0.502448003 0.612 0.27497337 0.810794882 F NA NA NA
SH11 SH 2014 GY cmn cmn F 1 160.240907118056 98 159.692881944444 100 158.629991319444 179 478.563780381944 478.563780381944 NA NA NA NA NA 6.79123336592347 -0.0200577431257994 -0.0316838024034201 -0.00626722133178253 0.00391320424488685 -0.0057856159692983 -0.00250672657552866 NA NA NA NA NA NA NA NA 5.38 1.31 1.34 0.610775255 0.632 0.096517838 0.804319311 F NA NA NA
SH12 SH 2014 GY wht cmn F 1 156.744859307359 167 154.173520923521 163 150.998015873016 160 461.916396103896 461.916396103896 NA NA NA NA NA 6.61155922679651 -0.000232509817098978 -0.0333018634229167 0.0110500191270463 -0.00638544068810322 -0.0107109447408213 0.00317076432210351 NA NA NA NA NA NA NA NA 5.32 1.17 1.24 0.582601449 0.635 0.144927536 0.765376812 F NA NA NA
SH13 SH 2014 GY wht wht F 1 168.236998050682 184 162.558674463938 174 153.888304093567 160 484.683976608187 484.683976608187 NA NA NA NA NA 5.75099780598555 0.0500049640610201 -0.0400610921521851 6.63587614677703e-05 -0.00545666141113334 -0.0163818214557418 -0.00617080414812646 NA NA NA NA NA NA NA NA 4.6 1.05 1.14 0.420232614 0.562 0.155635492 0.820270983 F NA NA NA
SH14 SH 2014 GY wht wht F 1 160.538019451813 165 157.51846939778 163 150.748256213773 159 468.804745063366 468.804745063366 NA NA NA NA NA 5.32996278118494 0.0327854149919352 -0.0279893049937939 -0.0111985986405231 -0.00843813177604436 -0.00363241238191374 -0.0207078227506463 NA NA NA NA NA NA NA NA 4.22 1.01 1.04 0.507440624 0.487 0.151305159 0.76932497 F NA NA NA
SH16 SH 2014 GY cmn cmn F 1 162.279309006211 187 158.448054153727 183 154.608428765528 175 475.335791925466 475.335791925466 NA NA NA NA NA 6.53734158507525 0.00285390863431532 -0.0456736078423141 -0.0173766800938339 -0.00283913652601876 -0.00181188667170174 -0.0143708448024551 NA NA NA NA NA NA NA NA 5.14 1.27 1.33 NA NA NA NA F NA NA NA
SH18 SH 2014 GY cmn cmn M 1 156.973623551106 102 151.880499209694 167 144.496015542677 157 453.350138303477 453.350138303477 NA NA NA NA NA 5.98100490125483 0.00165323265060491 0.00553606217138007 0.000673021992500061 0.0111922518764746 -0.0190544312459205 -0.00189659840035579 NA NA NA NA M 7.25 1.55 0.883 4.87 1.17 1.21 0.521317946 0.604 0.227477742 0.897660433 M NA NA NA
SH19 SH 2014 GY cmn cmn M 1 141.162813479624 157 139.772279444693 155 137.255345947156 146 418.190438871473 418.190438871473 NA NA NA NA NA 6.21404209821151 0.000903038349171984 0.0112992999071752 0.00885783081398026 0.00452684591543804 -0.0156531434342488 -0.00106980830117367 NA NA NA NA NA NA NA NA 5.06 1.17 1.18 0.45162079 0.549 0.123723252 0.707087947 M NA NA NA
SH2 SH 2014 GY cmn cmn M 1 146.41775 158 147.093083333333 158 147.750125 157 441.260958333333 441.260958333333 NA NA NA NA NA 5.88650567576765 0.0010280887772108 0.022065320745953 -0.0056772994248459 -0.0119502691156768 -0.00927961070471301 -0.00606298819865305 NA NA NA NA M 5.1 1.25 0.462 4.73 1.09 1.06 0.546603376 0.575 0.17638944 0.833118822 M NA NA NA
SH20 SH 2014 GY wht cmn M 1 141.526557377049 158 141.196762295082 156 139.082336065574 147 421.805655737705 421.805655737705 NA NA NA NA NA 5.93612328094385 -0.00895721025713168 0.0225781700378259 0.00500708536178382 -0.00834575582738008 -0.0127560870273743 -0.00196485810169712 NA NA NA NA M 6.25 1.5 0.88 4.79 1.07 0.99 0.555413327 0.575 0.133602066 0.719473581 M NA NA NA
SH4 SH 2014 GY wht cmn F 1 151.317730880231 178 146.830248917749 167 143.366847041847 160 441.514826839827 441.514826839827 NA NA NA NA NA 7.09580433189659 -0.001495975319313 -0.0404127208220098 -0.00592012225036119 -0.0176186151485609 -0.00136030927882985 0.000367261721464166 NA NA NA NA NA NA NA NA 5.57 1.3 1.42 0.47042644 NA 0.193572831 0.9236447 F NA NA NA
SH5 SH 2014 GY wht wht F 1 145.476010789015 100 140.950209786399 102 135.399411508282 158 421.825632083697 421.825632083697 NA NA NA NA NA 7.5809988352571 0.000780753169926692 -0.0274999936544488 -0.00257375001541536 0.00674532993968135 0.00126171041067886 0.000584965089050815 NA NA NA NA NA NA NA NA 6.11 1.44 1.44 0.57113285 0.661 0.239021739 1.016147343 F NA NA NA
SH6 SH 2014 GY wht wht F 1 137.650726990401 158 132.165372670807 155 124.109366177301 133 393.925465838509 393.925465838509 NA NA NA NA NA 5.92762107778239 -0.00857698148764113 -0.0162749232267352 -0.00726129954241392 -0.0166676614004341 -0.00792154153693291 -0.0146665410590377 NA NA NA NA NA NA NA NA 4.68 1.12 1.22 0.385888298 0.442 0.165239571 0.710717831 F NA NA NA
SH7 SH 2014 GY cmn cmn F 1 152.904308542413 181 150.988556600956 176 148.653543160096 165 452.546408303465 452.546408303465 NA NA NA NA NA 7.07370303156943 -0.0221037962378047 -0.0209261936059714 -0.000483717551152383 0.00405845458557321 -0.0103293765255282 -0.00875803993968538 NA NA NA NA NA NA NA NA 5.56 1.38 1.43 0.600007246 0.629 0.179265701 0.887021739 F NA NA NA
SH8 SH 2014 GY wht cmn F 1 148.293600643382 161 147.341643688725 159 144.723747702206 157 440.358992034314 440.358992034314 NA NA NA NA NA 7.16810209029372 -0.0174326973158367 -0.0192077117036263 0.00169768692759934 0.00200179727456654 -0.0075375683052278 -0.00992721187921386 NA NA NA NA NA NA NA NA 5.73 1.3 1.38 0.600515445 0.69 0.194434447 0.913478144 F NA NA NA
SK1 SK 2014 CB cmn cbr M 1 149.054071428571 102 144.570607142857 162 133.627821428571 149 427.2525 427.2525 NA NA NA NA NA 5.90888843000854 -0.0100534131027468 0.027315621428304 0.00347042737156104 -0.0063863479560205 0.00561763187101149 -0.0104898072825935 NA NA NA NA M 7.75 1.4 1.257 4.76 1.11 1.12 0.390734564 0.487 0.121263888 0.750124384 M NA NA NA
SK10 SK 2014 CB cmn cbr M 1 183.609080981183 189 174.022933467742 177 158.694556451613 159 516.326570900538 516.326570900538 NA NA NA NA NA 5.83939660700816 -0.00904776691773443 0.0191818668710862 0.0130162168404943 -0.0128178324879893 -0.0014813426058907 -0.0067580270312912 NA NA NA NA M 6.8 1.1 0.846 4.72 1.07 1.12 0.561770694 0.637 0.166976735 0.806326419 M NA NA NA
SK12 SK 2014 CB cmn cbr M 1 161.242146164021 184 143.916143077601 158 125.255042989418 128 430.413332231041 430.413332231041 NA NA NA NA NA 6.73032375784517 -0.0424571186074417 0.0487412409130528 0.0119095093290484 -0.0135339127157337 -0.0254252574306607 -0.0122338597835006 NA NA NA NA NA NA NA NA 5.37 1.29 1.32 0.624662219 0.571 0.179391662 0.831240418 M NA NA NA
SK13 SK 2014 CB cmn cbr M 1 180.675041356493 NA 168.38577853598 187 151.886786600496 156 500.947606492969 500.947606492969 NA NA NA NA NA 6.66179851678819 -0.00368017109401549 0.023327873298651 0.0120166688715063 0.00180505063426236 0.00293837549654804 -0.00970523866688273 NA NA NA NA NA NA NA NA 5.45 1.25 1.29 0.412764136 0.436 0.15382801 0.683106608 M NA NA NA
SK14 SK 2014 CB cmn cbr M 1 169.262745098039 184 148.702475490196 157 128.266838235294 128 446.232058823529 446.232058823529 NA NA NA NA NA 6.64014271959978 -0.0137493688350147 0.0148867863616839 0.00906367443549623 -0.00888784014986377 -0.0037649156452316 -0.000238853930327951 NA NA NA NA NA NA NA NA 5.35 1.28 1.32 0.541949991 0.53 0.18525071 0.678473996 M NA NA NA
SK15 SK 2014 CB cmn cbr F 1 178.846024487031 206 167.384823848238 140 152.913194444444 137 499.144042779714 499.144042779714 NA NA NA NA NA 8.72484998446872 -0.0219458905685075 -0.000243088078479142 0.0247596727745863 -0.023936301145078 -0.00443172372637936 0.000186139831292514 NA NA NA NA NA NA NA NA 6.89 1.53 1.5 0.388822569 0.465 0.142933552 0.744323173 F NA NA NA
SK17 SK 2014 CB cmn cbr F 1 127.147667342799 153 125.694599391481 146 125.923732251521 128 378.765998985801 378.765998985801 NA NA NA NA NA 6.5294027309368 0.00167176978603614 -0.00937380502600517 -0.0132316718113046 -0.00429504012907252 0.00768289383954509 -0.00585023309822268 NA NA NA NA NA NA NA NA 5.31 1.19 1.22 0.644477066 0.631 0.20000049 0.744566762 F NA NA NA
SK19 SK 2014 CB cmn cbr M 1 142.202398408044 100 139.786316506075 158 131.23099078341 141 413.219705697528 413.219705697528 NA NA NA NA NA 6.25194982546876 0.0318980632910554 0.00422262662973439 -0.00529037172154395 0.00515812695108179 -0.00749963404238334 0.00872799087006534 NA NA NA NA NA NA NA NA 5.15 1.2 1.19 0.522294404 0.572 0.206454988 0.789537713 M NA NA NA
SK24 SK 2014 CB cmn cbr F 1 138.831310054907 151 135.306408716541 128 134.550360329444 126 408.688079100892 408.688079100892 NA NA NA NA NA 6.78540655158144 -0.0388871135746661 -0.00591842150480755 -0.000579726677630959 0.00173998713353162 -0.00710985999753987 -0.000884863775784231 NA NA NA NA NA NA NA NA 5.42 1.31 1.31 0.51777203 0.542 0.190335539 0.805019817 F NA NA NA
SK25 SK 2014 CB cmn cbr F 1 146.258476965206 97 141.161626127577 102 135.721387725515 157 423.141490818299 423.141490818299 NA NA NA NA NA 6.99504344806145 -0.0106140194676454 -0.0332332646006204 0.0143443560294969 0.00532748383878206 -0.00559444301845614 -0.000856104495182843 NA NA NA NA NA NA NA NA 5.55 1.3 1.31 0.531233227 0.547 0.212084968 0.692564661 F NA NA NA
SK26 SK 2014 CB cmn cbr M 1 128.290858477011 157 127.05621408046 156 125.785739942529 152 381.1328125 381.1328125 NA NA NA NA NA 6.36615983512658 -0.0422379158765094 0.0235262562363818 -0.0102645052268789 -0.0127297883575958 -0.000597900527903839 0.0119022203045287 NA NA NA NA NA NA NA NA 5.18 1.16 1.14 0.427471318 0.408 0.126501491 0.706015279 M NA NA NA
SK30 SK 2014 CB cmn cbr M 1 124.399563772331 152 115.407639177399 133 107.068160573328 125 346.875363523058 346.875363523058 NA NA NA NA NA 6.42128640455012 0.00150055897186344 0.0150787125741105 0.00955842907566726 0.0167338349729178 -0.0184595187212457 -0.000346080885954989 NA NA NA NA NA NA NA NA 5.32 1.21 1.21 NA 0.76 0.250431373 0.941291667 M NA NA NA
SK36 SK 2014 CB cmn NA NA 1 136.915539321789 138 132.245986652237 134 127.685425685426 128 396.846951659452 396.846951659452 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SK4 SK 2014 CB cmn cbr F 1 181.566463461391 130 165.987692661606 134 147.720420213174 152 495.274576336171 495.274576336171 NA NA NA NA NA 7.26526569820491 -0.0311672452120785 -0.00827751684976067 -0.00173439809752835 -0.00408965284828394 0.0132271600483167 -0.015412626862146 NA NA NA NA NA NA NA NA 5.77 1.36 1.42 0.550846154 0.644 0.145951282 0.584817949 F NA NA NA
SK7 SK 2014 CB cmn cbr F 1 172.229059300488 185 159.952123273552 159 146.768226482512 146 478.949409056552 478.949409056552 NA NA NA NA NA 7.54167427105723 -0.0110745023783067 -0.00325049914439308 0.00900506904403847 -0.0269338646218151 0.00120262973599951 -0.00617866195936415 NA NA NA NA NA NA NA NA 5.98 1.41 1.49 0.27721978 0.36 0.158319771 0.492315184 F NA NA NA
SK8 SK 2014 CB cmn cbr M 1 192.286126373626 205 185.693956043956 179 171.417765567766 168 549.397847985348 549.397847985348 NA NA NA NA NA 5.98223122533943 0.00601569648029247 0.0266268357358872 0.00175939676733617 -0.000224234916578746 -0.00654928582267279 -0.0145033633056707 NA NA NA NA M 5.9 1.475 1 4.88 1.15 1.12 0.603040733 0.615 0.215936457 0.853250028 M NA NA NA
SP1 SP 2014 GY cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SP2 SP 2014 GY cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SP3 SP 2014 GY cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SP4 SP 2014 GY cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SP5 SP 2014 GY cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SR1 SR 2014 GY wht cmn F 1 182.817437232088 197 181.749349357012 191 179.759376913656 189 544.326163502756 544.326163502756 -18.69 13.25 -0.348000000000002 -0.3045 3.27044368600683 6.15831582601579 -0.00895438485012226 -0.0187942846528578 0.00197121387701638 -0.0100137673390348 0.00892491222184881 0.00253730159298149 0.715 0.105540934659917 53 0.777 F NA NA NA 5.05 1.06 1.09 0.602867544 0.486 0.095828443 0.729111857 F NA NA NA
SR105 SR 2014 GY wht wht F 1 177.926697530864 102 176.451697530864 101 177.151466049383 102 531.529861111111 531.529861111111 -18 14.16 0.342 0.6055 3.27614391566725 4.98695510404926 0.0017407641187552 -0.000266531040205441 -0.00518343120682306 0.0113365967605854 0.0130699123351162 0.00188467819985984 0.8 0.0666666666666667 39 0.977 F NA NA NA 3.87 0.88 0.91 0.664836139 0.635 0.190827189 0.994198732 F NA NA NA
SR107 SR 2014 GY wht wht F 1 174.932748538012 186 174.72424651372 186 176.279633378318 187 525.936628430049 525.936628430049 -18.62 13.94 -0.278000000000001 0.3855 3.33941707147814 5.27339296209237 0.00645927108929502 -0.0102477349389499 0.000115560052159404 -0.00833368406378739 0.0145052203940028 -0.00550266090583764 1.035 0.0709068246206089 40 1.976 F NA NA NA 4.28 0.96 1.01 0.448505235 0.431 0.130759757 0.667201679 F NA NA NA
SR113 SR 2014 GY wht cmn F 1 170.059737318841 190 167.067346014493 189 165.515240036232 188 502.642323369565 502.642323369565 -18.9 13.11 -0.557999999999999 -0.4445 3.28303018189087 6.83231740608677 -0.046415594812637 0.00798807000257138 -5.02134884258888e-05 -0.00257804464928086 0.00148713322106466 0.00486277376527881 0.965 0.052967495273569 117 1.358 F NA NA NA 5.54 1.25 1.24 0.551861158 0.596 0.170786421 0.81819815 F NA NA NA
SR114 SR 2014 GY wht wht M 1 169.02608311229 99 162.0324933687 177 153.22192749779 160 484.28050397878 484.28050397878 -18.04 14.39 0.126250000000001 0.31625 3.42510229496531 4.80609242873626 0.000618399301171517 0.0184559375566552 -0.00527105966881695 -0.00671379948700761 0.00937236368393666 0.0148696621136079 NA NA NA NA M 5.6 1.4 0.583 3.96 0.84 0.89 0.556352564 0.586 0.122044648 0.573686504 M NA NA NA
SR120 SR 2014 GY wht wht M 1 176.563034188034 189 169.657661782662 184 161.199328449328 166 507.420024420024 507.420024420024 -18.17 14.84 -0.00375000000000149 0.766249999999999 3.40697074644462 4.68797577837238 0.0049946292699634 0.0201155998897621 0.00277569293689051 -0.00708599071816912 -0.012556006063868 -0.000776734595685975 NA NA NA NA M 4.35 1.05 0.38 3.82 0.87 0.9 0.421721894 0.534 0.210859765 0.724496526 M NA NA NA
SR125 SR 2014 GY cmn cmn F 1 144.651513671875 78 143.18173828125 99 142.894498697917 169 430.727750651042 430.727750651042 -19.25 15.24 -0.908 1.6855 3.69716757815688 7.52029954553586 0.0275733782085513 -0.0359009541784955 -0.00845870055567099 -0.0128350859058712 0.0110995987633054 0.00174546757765138 1.555 0.0437797517885457 122 4.235 F NA NA NA 5.98 1.4 1.46 0.381661939 0.355 0.122018913 0.397416076 F NA NA NA
SR128 SR 2014 GY cmn cmn F 1 163.748425296044 169 161.089443184681 163 159.05505165029 160 483.892920131015 483.892920131015 -18.11 12.5 0.232 -1.0545 3.28126301179736 4.11891846735023 0.0219603129140747 0.0181401692672871 -0.0034945039565852 0.000322985208895882 0.0134422105186085 0.00512468038620221 NA NA NA NA NA NA NA NA 3.46 0.75 0.78 0.458558685 0.5 0.143633803 0.676201878 F NA NA NA
